  | Kanji | Meanings | Pronunciations | Radicals | Mnemonic 
# | 両 | Both | りょう | Ground + Head + Mountain | Under the ground, which you dug into, you found two great finds. You found both a mountain and a head, two strange things to find underground. You'll want to focus on the part where you find both, not so much the things themselves. Think about how you can't believe you did so well finding both things at once. Usually you only find one or the other when you're searching. But, you dig too deep and water flows into where you are. Your only hope is a row (りょう) boat floating off in the distance. Also think... "What's that row boat doing here?" But, it's your only hope, so you have to focus on it really hard.
# | 明 | Bright | めい, みょう ; あ, あか, あき | Sun + Moon | The sun AND the moon are out? With both their light-powers combined, it's incredibly bright outside. Look up at both of them, hanging out in the sky together. Make them super bright, so bright you have to shield your eyes. When do things start to get bright outside? I'd say when things start getting sunny, and that is the month of May (めい). If you live in the Southern Hemisphere, it's bright in May because of all the snow, or because that's when all the streetlights come on. Depending on where you live, you might want to come up with a different reason for all that brightness in May. Perhaps it's because of Mother's Day, since we all know how brightly mothers shine. The important thing is to remember just how bright the month of May is, for whatever reason!
*** | 京 | Capital | きょう ; みやこ | Lid + Mouth + Small | There is a lid covering all the mouths that are too small to feed themselves, forming the capital. All of the small mouths come together and create a place where everyone can support each other. Picture the capital of your country. How many mouths have come together to support each other there? A thousand? A million? More?! To remember the reading きょう we use the Japanese city, Kyoto, which is spelled きょうと. It was once the capital of Japan! It was soooo full of mouths that came together that it was the capital for a long, long time. When you think of the capital, think of きょうと!
# | 化 | Change | か ; ば | Leader + Spoon | A leader with a spoon is a powerful thing. Even something like a spoon when given to the right man or woman can make great change in the world. Imagine your leader-hero holding a spoon out, then doing something awesome with it to totally change everything for the better. It's amazing the change this person can do with such a blunt, small device! Then, this hero of yours takes their spoon and says some magic words into it, changing it into a car (か). Of course, doing something like this is utterly amazing. Feel amazed in your imagination, because if you don't, then it'll be hard to remember the reading for this kanji. If you are amazed, you'll know that spoons going to cars = the reading is か, so make sure you take the time to be amazed.
# | 国 | Country | こく ; くに | Mouth + King + Drop | The mouth of the king extends all the way around him (like in this kanji). Where his mouth reaches, that is his country, give or take a few drops. Imagine his talking taking physical form. As he talks, waves extend out from him, and stop right at the border of his country before getting to the next one. Turns out the king of this country loves drinking Coke (こく). Every morning that big mouth of his swallows a whole 2-liter bottle of Coke for breakfast. Would you drink that much soda for breakfast? Now this king says he wants to pass a law requiring everyone in the country to drink nothing but Coke! That's crazy!
# | 亡 | Death, Deceased | ぼう ; な | Death | The radical death and the kanji death are the same. This thing is deceased. It ain't alive anymore. Your death will be because of a bowling (ぼう) accident. Oh, you didn't know? You're going to be hit by a giant bowling ball and crushed flat. You didn't want to know what would cause your death, you say? Well that's a shame. I guess you could try to avoid bowling from now on, but that won't do any good. Mark my words, your death will be bowling-related.
# | 死 | Death | し ; し | Yakuza + Spoon | If the yakuza hands you a spoon, death is coming for you. It's the death spoon, a sign that the yakuza is coming to cause your death. This spoon isn't for pudding, it's for death! Death comes in the form of a sheep (し). The death sheep works for the yakuza, and kills anyone who has their spoon. Picture the death sheep. He looks like a black shadow, and he has a scar on his face. He's holding a bunch of spoons, from all the other people the yakuza marked for death!
# | 地 | Earth, Ground, Land | ち, じ | Dirt + Alligator | A dirt alligator lives in the earth, not the water. They can swim through the earth itself! Which is pretty scary. You can think of this word as ground too, because that's kind of what earth is made of. Imagine seeing the earth moving as a dirt alligator rises out from the ground. You should run. The only way to keep this dirt alligator from dragging you under the earth and eating you is to feed it cheese (ち). That way it won't lead you to a horrific death under the earth by dragging you under and spinning you around until you eat dirt (literally). If you ever see someone throwing cheese on the ground, now you know why. They aren't crazy, they're saving us humans from what's lurking under the earth.
*** | 東 | East | とう ; ひがし | Tree + Sun | Behind that tree the sun is rising in the east. The sun always rises in the east, so if you head that way, past the tree, you'll be going east too. Picture the sun behind the tree, don't picture the sun alone, you'll burn your eyes. It's slowly coming up behind it. Now think: where does the sun rise? In the east! You walk east for a few hours until you finally come to a city. It's とうきょう. Oh! とうきょう is in the east. I get it now! When you think about East Japan think about とうきょう. And if you're bad at geography, just look at a map for a while. Or, stand outside in the morning, watch the sun rise behind the trees, and point that way. That's east, it's where とうきょう is!
# | 食 | Eat, Meal | しょく ; た, く | Eat | The radical for eat and the kanji for eat are the same! Lucky you. If you know the radical, you basically know the meaning(s) of this kanji. There is a second meaning added to it, though, and that is meal. Just think about the things you eat? What are they? In the simplest form, they are just meals. So, if you know "eat" you should be able to remember "meal" as well. Thank goodness, you finally get to eat your meal. You're so hungry. Someone has been starving you and now they've finally given you food. Unfortunately, though, every time you take a bite, you get a shock (しょく) from somewhere. So, do you keep eating and keep getting shocked? Or do you not eat and continue to starve? What is worse? Obviously you're in one of the Saw movies, or something, too, so feel the fear. What will you choose? Life with shocks or death from hunger?
# | 直 | Fix, Direct | ちょく, じき ; なお | Lion + Cross + Eye | You accidentally stab your cross into the eye of a lion. This is a terrible thing you did and you need to fix it right now. I'll be direct with you, this is something you have to fix on your own. How will you fix this mistake though? Maybe if you build a time machine you can go back and stop yourself from throwing your cross around so carelessly. Whatever you do, focus on how important it is to fix the mistake, more than anything. As you try to fix the lion's eye, it starts to choke (ちょく) and make what can only be described as a jikijiki sound (じき). Through its choking jikijiki sounds, it coughs up a gear. Wait. Is this a machine lion? You're relieved! You don't know how to fix a choking, eye-stabbed lion, but you can absolutely fix a ROBOTIC one. Robots are fixable.
# | 前 | Front, Before | ぜん ; まえ | Horns + Ground + Moon + Knife | There are some horns on the ground and a moon knife in front of you. When you try to move, they always rotate around with you, staying right in front. You can't escape these objects, for some reason. This kanji means before too. Something that's in front of you is before you, after all. Perhaps it's some kind of magic, but you don't care. Why are these strange objects always in front of me? Why won't they stay put? This will get pretty freaky after a while. Try to run. Try to hide. Spin around. Do whatever you need to do. No matter what, these objects are always in front. You're going crazy with these things in front of you all the time. You finally seek the help of a Zen (ぜん) master, who tells you that meditation will save you from this curse. You try it out, and sure enough, the objects are gone! It worked! Go ahead and do some Zen Buddhist meditation. Maybe it'll help you to remember this kanji's reading better (and calm your mind so you're ready for the next kanji!).
# | 有 | Have | ゆう, う ; あ | Narwhal + Moon | A narwhal and a moon is all you have. Imagine one of each under your arms. You don't have anything else. This is it. All you have. Everything you have (except the narwhal and the moon) were taken from you by a roving gang of youths (ゆう). They came and took your things. Now they have all your stuff, and you only have the moon and a narwhal. You don't have much anymore, but at least you have these things still.
# | 家 | House, Home | いえ, や, うち ; か, け | House | The house radical makes up the house kanji! Pretty easy. This kanji is also used to mean home, so try to remember that too. I guess not all houses are homes, and not all homes are houses. But there's a pretty big overlap, right? And in most situations, this kanji's got you covered. What do you do in your house? You eat eggs (いえ), that's what. You eat eggs three times a day, every day. You really love eating eggs in your home! Imagine all the eggs you've got in your house. Whole fridgefuls! It's not a normal house, but that's okay. If you couldn't eat eggs, it wouldn't feel like home.
*** | 私 | I, Private | し ; わたし | Grain + Private | Your private grains are meant to stay private! You shouldn't be sharing them with the whole town, they're just for you. This kanji also means I. Why? Because what's more private than you? I mean, I! Basically, some things are only the business of you (I) and those things should be private. Look at your private grains. Who are those for? Why, they're for I! You're getting into the zone, thinking about yourself (I) and how much you love having things that are private and just yours, when you realize there is a sheep (し) in this grain bag. And it's eating all of your (I's) private grains. No! The moral of the story is: don't let a sheep sneak into your private stash of things just for you (I). I'm sure this is a metaphor for something important...
# | 知 | Know | ち ; し | Arrow + Mouth | Just before saying something important, you take an arrow to the mouth which seals your lips together, making it so you can't talk. Someone doesn't want you to share what you know with someone else. Imagine being so surprised by this arrow. Then, think of all the things you know that need to be said and told to everyone. Maybe you have information about nuke codes. Maybe you have information that will save the President. Whatever it is, make sure you know important things that need to be said (but also things that people want to prevent you from saying, even if it means shooting you in the mouth with an arrow). To remember the reading ち we use the word "cheese." One of the things you know is actually very strange but very important. The president's cheese (ち) has been poisoned and only you know. If you could just say something then maybe you could save her... but... you have an arrow in your mouth. Try saying the words "cheese" with an arrow in your mouth. What would that sound like? Go ahead and pretend out loud.
# | 活 | Lively | かつ ; い | Tsunami + Tongue | A tsunami of tongues is coming at you. As it washes over you, you feel each individual tongue moving around on your body, licking you. They make you feel so... lively! Your entire body wakes up, you feel so lively! The tongues are making you more aware of yourself and your surroundings than you've ever been. You want to dance, you want to sing, you want to live your life. This lively feeling isn't just happening to you, the tongue tsunami is licking it into all of the cats (かつ) in your neighborhood too! You and the cats are running around playing together, because you can't seem to get the lively feelings to stop. You have to get the energy out, but the cats have sharp claws and they're scratching you.
# | 長 | Long, Leader | ちょう ; なが; は | Long | The long radical and the long kanji are the same! This kanji also means leader, because the longer a person is, the better a leader they'll be. Or maybe it was... the longer they've been somewhere? Whatever, longness = leaderness, you know? As long as you know the radical long, you know the kanji long as well. You see a very long person. It's Mrs. Chou (ちょう), who has made herself long, like her street. "I made myself long so I can watch more of the street, my domain. I'm the leader of these streets. Watch yourself not-long person," says Mrs. Chou. Long isn't an idea that's easy to imagine in any specific sense, but you can try some other things too, as long as it gets associated with Mrs. Chou. For the most part, when you see a kanji with the radical 長 the reading will be ちょう.
# | 曲 | Music, Bend | きょく ; ま | Mouth + Twenty | Twenty mouths are together. That's a lot of mouths. What do they do? They sing beautiful music together. Listen to the twenty mouths. They sound great. Have them sing your favorite music. Also note that this kanji also means "bend." Imagine the music coming out at you bending all around in strange shapes through the air. The twenty mouths make so much music that they literally cloak you (きょく) with it. They cloak you with the music. Imagine how you feel as they cloak you with music. Feel the music all around you, enveloping you. Become the music itself.
# | 首 | Neck | くび ; しゅ | Neck | The radical neck and the kanji neck are exactly the same!  The only thing you do with your neck is use it to swallow lots of cool beans (くび). Mm mm. Feel those cool, cool beans sliding down your neck. You don't really taste them, but you know they're there. Look at yourself in a mirror as the cool beans make their way down your neck. You can see them, like little ants marching all the way down to your tummy.
# | 夜 | Night, Evening | や ; よ, よる | Lid + Leader + Winter + Drop | A leader is wearing a lid and is standing outside in winter. Plus it's raining and she's covered in drops of water. On top of all this, it's night. If it helps, you can come up with a reason why she's outside in the winter at night. Also, why is she wearing a lid on her head? Probably because she's protecting her people from something that comes at night. Question is, what is she protecting them from during the night? Turns out, it's the Yankees (や) baseball team. They're out for blood, and only the leader can protect us. Imagine the Yankees stomping towards the leader, baseball bats in hand, blood on their faces. They're here to eat, and nobody will stop them. Feel the fear of their approach. Will you survive another night with them on the prowl?
# | 姉 | Older Sister, Big Sister, Elder Sister | し ; お, あね, ねえ | Woman + City | The only woman in this city is your older sister. She's the only woman surrounded by a bunch of men, but she's following her dreams in the big city. You want to go to the city someday, but you're not old enough yet, like your older sister is. Your older sister may have moved to the city, but she kept her pet sheep (し) with her. Now the only woman in the city is your older sister, and the only sheep is her pet. Picture your older sister and her sheep walking through the city. Everyone turns to stare at them, because they're the only ones of their kind.
# | 点 | Point | てん ; つ | Fortune + Boil | Your fortune boils down to a single point in time. One point in time determines how the rest of your future will go. Imagine actually going somewhere to get your fortune told and watching a big boiling pot of goo. As it boils, it melts down to a single point at the very bottom. Where this point is determines your future. As you stare at the point, you watch in awe as it moves to the ten (てん) spot in a long series of numbers. Is the ten spot good? Are you going to live a long life or does this point mean you're only going to live ten more years?! Ahh!
# | 安 | Relax, Cheap | あん ; やす | Roof + Woman | With a roof over her head, a woman can relax. She doesn't have to worry about rain or snow or finding a place to sleep. The roof also happened to be super cheap, so she can even relax about her finances. Picture the super relaxed woman lounging under her cheap but sturdy roof. Ah, she doesn't have a care in the world! As she relaxes, she pulls out the cheapest, most relaxing food in the world: anchovies (あん). Think about it: anchovies cost next to nothing, they come in cans, you don't have to cook them or cut them up. You just munch them down. There's nothing more cheap and relaxing than eating anchovies under your own roof.
# | 室 | Room | しつ | Roof + Ground + Private + Dirt | On the dirt you've made a roof over the ground where you can be in private. This is your room! That's really all a room is, you know? A covered, private place where you can have some time to yourself. Imagine the room you live in now. Take away all the stuff and you're left with a roof and the dirt on the ground. It's your own little private place. The only problem with your room is that you can't always be alone. Because of your dad's shih tzu (しつ). The shih tzu likes to come into your room and pee everywhere. Ruining your privacy completely. Imagine watching the little shih tzu come into your room and lift its leg to all your things. This isn't fair. The shih tzu has its own room to pee in. Why does it have to ruin yours?
# | 科 | Science, Course, Department | か | Grain + Ladle | You scoop some grains into a ladle to do science. You're doing experiments on these grains in your science course. Imagine carefully ladling grains into different piles so you can do science experiments on them. This course is going to make you an expert. You'll be the best in this department! Using your science skills, the right temperatures and measurements, you manage to get these grains to grow into a car (か). This is the science department's special car now! From your science meddling, these grains grow huge, red, and sprout sports cars when they're ripe. This is the true power of science!
# | 海 | Sea, Ocean | かい ; うみ | Tsunami + Gun + Window | A tsunami is coming, so you point your gun out the window at it. "You better turn back, sea, or I'll shoot!" You'll have to think of the "sea" as its own entity, controlling the tsunami, otherwise you might confuse and combine the two. So when you point your gun out the window, aim it at the "sea," not the "tsunami." It's like aiming for the head of a zombie and not the arms or legs. The sea decides it doesn't want to die today, so it turns its tsunami around and goes the other way. You hop in your kayak (かい) and chase after it with your gun, to make sure it actually returns to the sea and doesn't just drown someone else. Imagine paddling in your kayak, your gun still in one hand, as you chase the sea back to its home.
# | 羊 | Sheep | よう ; ひつじ | Sheep | The sheep radical and the sheep kanji are the same in looks as well in meaning. You are no sheep—you study your radicals, unlike most Japanese learners. You'll learn sooo much faster! To remember よう, we use the word "Yogurt." The sheep are after you. There are too many of them, and they're chasing you down, stalking you... because you stole their sheep's milk yogurt (よう). Now you're running and crying and trying to eat the yogurt before the sheep catch up and stomp you down with their hooves. Imagine the taste of this yogurt. You're scared and tired from running, but it tastes great!
# | 店 | Shop, Store | てん ; みせ | Canopy + Fortune | A long time ago, someone put up a canopy over their fortune telling booth and created the first shop. This store was fortune-based, but since then lots of different stores have popped up! Picture the very first store in history. A fortune teller decided enough was enough, they should be in some kind of structure where it's safe, official looking, and more permanent. This shop quickly turned into ten (てん) shops! It was a good idea, after all, so all of the other people selling goods and services decided to copy it and create their own shops. The next day there were ten more. Picture ten shops, all made up of someone selling something under a canopy. The first one is the fortune teller, but the nine others are whatever you want them to be!
# | 南 | South | なん ; みなみ | Cross + Head + Horns + Dry | The cross you're holding above your head to keep your horns dry keeps pulling you south. Probably because it's warmer in the south of Japan, so it's easier to keep things dry. Look down and see the compass pointing south and feel the cross pulling you in that direction. You finally make it down south, and it is dry, but you're really hungry. When you try to find southern food you realize every single store is only selling naan (なん). Imagine being in the south and taking big bites of naan. It tastes good, but now your mouth is dry just like your horns. Too dry...
# | 星 | Star | せい ; ほし | Sun + Life | The sun that gives life is our very own star (which we happen to call the sun). Of course, all the other stars are probably giving life to other planets as well. Imagine all sorts of stars all around the universe giving life to planets as suns. These are all the stars you see in the sky and there are billions of them. I hope you don't feel overwhelmed by how minuscule we really are when you look up at all of them. This star (the sun) and all of the others are yours to protect with your trusty saber (せい). If you could protect your land from the West, then you can certainly defend the stars too! Now you're soaring through between the stars, swinging your saber through the silence of space, and... wait. No that was a dream. You roll over and pat your saber. The two of you are ready just in case the stars need your help.
# | 州 | State, Province, County | しゅう | Drop + River | Think about Japan. Japan is a country made up of islands. They're basically three drop drop drops in the large river that is the Pacific Ocean. These are Japan's states or provinces. Also, another way to think of this is that the river radical is actually just three rivers, separating drops, which are capitals of various states. Rivers are usually great ways to divide up a country, and states are one way to do it! Each state has its own shoe (しゅう) to represent it. The bottom of each shoe is the shape of the state, so when you step it leaves a state-shaped imprint in the ground. The state shoes also have things like the state birds, state flowers, and state fish printed on each of them. They're quite collectable, you should buy a pair for your favorite state!
# | 取 | Take | と ; しゅ | Ear + Stool | There's an ear just sitting on a stool. Nobody's watching, so, you take it. Feel the rush of stealing something (even though it's a weird something, admittedly). Start walking away quickly. You don't want to get caught! You're the kind of person who likes to take things. "What things?" you ask. Little toes (と). Because that isn't creepy. When someone asks you "Do you like to take little toes?" your answer is always "Toetally."
# | 茶 | Tea | ちゃ, さ | Flowers + Hat + Angel | You come across an angel wearing a hat that's covered in flowers. So, you do the only natural thing. You take this angel, chop him up into tiny pieces, and dry him out. Then, you make tea out of all the dried up angel bits. You wear the hat, though. How does this angel-flower tea taste? Be sure to imagine it. Probably heavenly *rimshot.* In your tea you find a little metal button. I guess you missed it while you turned the angel into tea. You look at the button - on the back it says "To Chad (ちゃ), you'll make an awesome angel." Looks like you're drinking Chad the Angel. It gets kind of weird when you know their names... Usually you just make them into tea without knowing who they are (easier that way). This one... this one is Chad, and you remember it vividly, because now you feel kind of bad.
# | 思 | Think, Thought | おも ; し | Rice Paddy + Heart | In a rice paddy you find a heart and it makes you think. You think a lot of thoughts like, "Whose heart is this? Why is it in a rice paddy? Why am I thinking out loud?" Think, think, think. Think about this rice paddy heart. As you are thinking these thoughts, you spot someone on the edge of the rice field. He really reminds you of someone. But who? That's it! He reminds you of that bartender on The Simpsons. What's his name? You think some more. What is it? Oh! Moe (おも) is his name! If you don't know Moe from the Simpsons use a different Moe, perhaps the one from the Three Stooges? You should be able to come up with one. Think really hard about the Moe you know best and imagine them standing watching you from the edge of the rice field.
# | 歩 | Walk | ほ ; ある, あゆ | Stop + Small + Slide | You stop at a small slide. What were you doing before you stopped here? You were walking. Question is, what made you stop? Imagine yourself walking at a nice casual pace... then imagine something that would make you stop that's incredibly interesting and strange. Maybe an alien is going down the slide? He would say "keep walking, friend." So, you're walking around, minding your own business, when suddenly something flips up and whacks you in the face. You stepped on the head of a hoe (ほ) and it caused it to swing up from the ground and hit you. Of course, imagine the pain of your face. Did your nose break? After bringing yourself together, look down at what hit you. It's a hoe! How did you manage to step on just the right spot to flip it up on you like that? Examine the hoe. Pay close attention to it. Whose hoe is this? etc.
# | 向 | Yonder, Facing | こう ; む; なた | Drop + Mustache | A drop hits your mustache. Where did it come from? "Ah, it came from yonder," you say, facing that way. Yonder is a bit of a weird word, but it fits the meaning of this kanji quite well. You'll have to trust me that it's more useful in Japanese than it is in English. When you imagine through this mnemonic, make sure the drop comes from the side and hits you in the mustache with quite a bit of force. That means it came from a far distance thus making you look over "yonder." Who shot this drop at you from yonder? You look over yonder, and see a figure. It is こういち. "Who is that over yonder!" you yell. "It is I, (こういち)," he yells back. "I shot at you over yonder because you weren't doing your kanji reviews often enough and you're taking up space on our database." "But I'm paying you!" "Oh, that's true. Well, I'm going to walk over yonder and leave you alone, then."
# | 妹 | Younger Sister, Little Sister | まい ; いもうと | Woman + Jet | Who's that woman pretending to be a jet? That's my younger sister. *Sigh* Imagine a little girl (your younger sister) running around with her arms out, pretending to be a jet, too. Prwoooooo! Your younger sister is giving some mice (まい) a ride on her back like a jet. Ew, gross. Your younger sister is such a weirdo! Why does she have mice on her back while pretending to be a jet?
# | 辺 | Area, Side | へん ; あた, べ | Scooter + Sword | While riding your scooter, you take your sword and cut out an area on the ground.  You carefully cut all the sides as you go. This area's all yours now! Imagine riding your scooter around in a really large area, pressing your sword into the ground as you do. Once you've finished carving out the sides of the entire area, you claim to everyone around that this is YOUR area, and they aren't allowed in. As you look down at your area with its sword-carved sides, you suddenly realize there is a hen (へん) pecking at the ground in there. "Um, excuse me, hen, I believe I said this is MY area?!" You try to kick it out, but it hops over your leg. Imagine doing everything you can to get this hen out of your area, but it manages to dodge and outwit you at every turn. You even slash at it with your sword and try to run it over with your scooter, but the hen can't be stopped. This is the hen's area now. You have been defeated.
# | 付 | Attach | つ ; ふ | Leader + Measurement | You have to take the measurement of a leader. Imagine yourself measuring that leader's height and then coming up short. This is not good, you think. Leaders need to be at least six feet tall. So, to make the leader tall enough, you attach another head to the top of the leader's head. Make sure you really feel like the person can’t be a leader because they’re too short when you measure them (I know this isn’t true, but we’re remembering kanji here, anything goes!). As long as you feel disconcerted that the leader isn’t tall enough, you should be able to remember that you need to attach something to the leader to make them tall enough. The fact that you’re attaching another head to the top of the leader's head is pretty weird too, and should help you to remember the meaning. You have to remember the kun'yomi reading of this kanji, and the part you need to remember is つ. So, think of attaching something to something else. What would you need? You'd need two (つ) things to put together! Just focus on how attaching requires two things to remember this reading.
# | 札 | Bill, Tag, Label, Note | さつ ; ふだ | Tree + Umbrella | This tree has an umbrella, which it’s holding over its head. Strange, because trees normally like water… turns out, this tree wasn’t getting showered in water, but in dollar bills instead. The sick part is that all those bills were once this tree’s friends. Picture the tree sobbing uncontrollably, as pieces of its former friends fall everywhere around it. No wonder it needs that umbrella. With all those bills still falling around it, the tree sat (さつ) down on the floor, all while still sobbing uncontrollably. The little tree was crying so much that it sat down on the floor, unable to keep standing. Poor thing.
# | 鳥 | Bird | ちょう ; とり | Bird | The bird radical and the bird kanji are the same! As long as you know the radical bird you know the kanji bird. Think of a run of the mill bird, whatever comes to mind for you first is fine. Then, your lovely bird swells. The shape of a face, then a hand, start stretching the bird apart until it explodes outward. Covered in blood and feathers is Mrs. Chou (ちょう). After bursting out of this bird, she turns her head sharply in your direction. "I don't just own the streets, I own the birds too. I'm inside every bird, and I, Mrs Chou, can burst out at any time."
# | 黒 | Black | こく ; くろ | Black | The radical black and the kanji black are exactly the same.  You're in a completely black room. There's no way out, and you can't see. The room starts to fill with liquid. It gets in your mouth. You taste it. It's Coke (こく)! Mm, tasty Coke. You need to drink all this Coke, otherwise you're going to drown. Drink this Coke and keep tasting its cold sweetness as you drink it all to survive.
# | 船 | Boat, Ship, Vessel | せん ; ふね | Boat + Fins + Mouth | Your boat has fins and a mouth! It's still a boat though. Picture this boat. It's still a boat, but there is a big mouth on the front and it has fins that it paddles forward with. This boat belongs to the centaurs (せん). That's probably why you've never seen a boat like it before. Picture this mouth and boat with a bunch of centaurs riding in it. Centaurs have a lot more parts than humans, so it makes sense that their boats have more parts (animal ones) too.
# | 必 | Certain | ひつ ; かなら | Heart + Slide | The slide coming out of the patient's heart is there because a mad scientist is testing to see if it's a good way to drain the body of blood. The patient is alive now... but they are definitely slated for certain death. As you imagine the mad scientist drawing blood out of the patient's heart with a small slide, also imagine a little meter hooked up to him as well. On one end is "SURVIVE!" on the other end is "CERTAIN DEATH." Right now the finger is pointing close to certain death, though :( As the beeping heart thing starts to do one long continuous beeeeeeeeeeeeeep, the doctor puts his hands together and hits (ひつ) the dead patient over and over, attempting to bring him back. Maybe imagine yourself running in there too, just trying to hit the patient back to life, because the patient was your friend.
# | 象 | Elephant, Phenomenon | ぞう, しょう | Elephant | The elephant radical and the elephant kanji are the same. But! This kanji has another meaning: phenomenon. If you were the first person to see an elephant, you'd call it that too. Picture the first Japanese person to see an elephant. He stops dead in his tracks, points and screams out, "What a phenomenon!" Elephants are great and all, except that when they die they turn into elephant zombies (ぞう). But you never see these zombies because the shougun (しょう) has a special project in place that destroys all elephant bodies when they die. Hint: The readings and meanings for this kanji match up really nicely. ぞう is always for elephant and しょう is always for phenomenon. Remember it like this, the elephant is the zombie and the shougun keeps everyone from finding out about this phenomenon. Picture the shougun standing over a pit of zombie elephants. None of these are getting out on his watch, letting people believe in such crazy phenomenons.
# | 末 | End | まつ ; すえ | Jet | This kanji uses a modified jet radical. The front area of the wing is wider than the middle area of the wing. This may seem counterintuitive, but by doing this they can fit so much more jet fuel. The jet zooms off and keeps going for a long, long time, until it reaches the end of the earth. Imagine the end of the earth being like how they imagined it pre-Columbus era. Just a big drop going off into space, giant waterfalls plummeting down. Your crazy jet has made it to the very end! Congratulations! When you get to the end of the world, you land your jet and put out a few mats (まつ) to sit on so you can view the sights. It's surprisingly dirty down here, because all the water takes the garbage this way. That's why you sit on these mats you brought.
# | 氏 | Family Name, Last Name, Surname | し ; うじ | Clan | Your clan is where you get your name. But not your given name, your family name. That's why people have names that mean "in a rice paddy" and "near the ferry crossing." The location of your clan determined your surname! Hope your ancestors didn't live on "Poo Lake" or something. Think about your own surname in your language. Where did it come from? Were you a clan of village dwellers? Maybe you made shoes! You should look it up and find out! Don't worry, I'll tell you where your family name came from. Your family used to herd sheep (し). You read that right, your family was of the sheep clan because you took care of sheep all day. Imagine your ancestors, herding sheep. Thanks to them your name means "sheep people." Thanks, great-great-great-great-great-grandpappy.
# | 失 | Fault | しつ ; うしな | Slide + Husband | That slide is your husband's only fault. He loves that slide, more than you, and it's the only thing you don't like about him. Imagine looking out the window of your house and watching your husband slide down his slide over and over. He's not even good at it, he falls off the side halfway down most of the time. You want to complain, but he's pretty decent otherwise. This is his only fault. You try to come up with another fault of his so you can complain, when you see a tiny shih tzu (しつ) trotting by. Oh no! Before you can call out, your husband has fallen off the slide and crushed the poor thing. You hear a sharp yelp and then nothing. You run outside and yell, "AHA! It's your fault that shih tzu died! You and that stupid slide!"
# | 魚 | Fish | ぎょ ; さかな, うお | Fish | The radical fish and the kanji fish are exactly the same! Nothing fishy about that, right? You catch a fish. As you pull it out of the water, it starts yelling and pointing: "GO!" (ぎょ). "GO GYO GYO GYO!" There's a huge cruise ship coming right towards your little fishing boat. No wonder the fish was yelling GO at you. Have him continue to scream "GO GYO GYO GYO!" as you try to get your engine started and attempt to flee your impending doom. The fish helps too, because he's pretty worried as well.
# | 床 | Floor, Bed | ゆか, とこ ; しょう | Canopy + Tree | Under the canopy, you use a tree for your floor. It also becomes your bed, because hey, what is a floor but the original bed? You lay it down, cut it into slats, and voila! A floor! And a bed! It's great having a floor or bed, but whenever you use it you say yucka (ゆか) because it just gets so dirty. That's the one flaw of using a floor as a bed. In fact, it's the dirtiest floor you've ever seen, because it's covered in yucca (ゆか) leaves. You're sleeping on a yucca floor. Ew! You can imagine how comfortable it is to sleep on a floor of yucca leaves, but at the same time how horrible the smell must be when they start to rot.
# | 以 | From, Since, Compared With, With, By Means Of | い | Lion + Drop + Person | The lion drops a drop of saliva onto this person from above. The person is in a much worse place compared with where they were before, since they only just recently fell into this pit. Picture the person, the lion is leaning over them, the drop of spit dangling from their mouth. "I-I want to go back where I came from," the person gasps, shaking. From above there is a loud caw, and a giant eagle (い) swoops down, forcing the lion to back off. The eagle grabs the person with its talons, bringing him into the air! But now he's... in the air being carried by a giant eagle, compared with where he was before, is this really better?! The eagle came from the sky and technically rescued him, but compared to where he was before, it may not be a better situation. I think this person is going to be eaten either way.
# | 組 | Group, Association, Team | くみ ; そ | Thread + Top Hat | Sew thread through your top hat and to the top hats of other people you know and you'll turn into a group of top hat wearing people. You're all connected by the thread now, so everyone will assume you're a group, even if that's all you guys have going for yourselves. Picture a group of people threaded together by their top hats. Don't you want to be part of a cool group like that? Your own top hat team. Everyone in this group loves cumin (くみ). You know, the spice or seed. The group take off their top hats and fill them with cumin. You're officially a group for lovers of cumin. What do you do in the cumin group? You smell the cumin. Cook with it it. Taste it. This group lives and breathes cumin!
# | 画 | Image, Drawing, Painting | が, かく | Street + Rice Paddy + Box | You go down a street that cuts through a rice paddy and leads to a box. When you open the box at the end of the street, you see it's full of images. Image after image. Drawing, painting, you name it. Someone must have left this box of images here. What are the images of, anyway? Well, it's better not to say out loud. Just think of the kind of image you enjoy looking at most. That's what's in the box at the end of the street. Aren't you the lucky one? Okay, I didn't want to tell you this, but the images are all drawings and paintings of gargoyles (が) and cocks (かく). Male chickens, that is. Turns out that's what you wanted to see most. Don't worry, no one is judging you. Try to see the images of the gargoyles. Winged, stony monsters. Very cool. And the roosters? Colorful little dinosaurs. What's not to like?
# | 欠 | Lack | けつ ; か | Lack | This kanji is the same as the radical it comes from. Lack becomes Lack! If you know the radical you know this. To remember けつ, we use the word "ketsup." It's the perfect blend of ketchup and catsup! You're lacking something in your fridge. You look around, trying to find the ketsup (けつ) you lack. You can't find it, because you lack it. Imagine having to use regular, ordinary ketchup, or just old, boring catsup on your burger. Or even worse, an actual tomato. BLEH!
